id,first_name,last_name,username,password,department,title,phone,email,address,city,state,zip,company,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,OU
6,Ciel,Midson,ciemidson,prawners,Marketing,Account Coordinator,(940) 1342776,cmidson5@usnews.com,5 Dwight Road,Wichita Falls,texas,76310,"Pagac, Conn and Lehner",Employees,,,,,,,,,,"ou=Marketing,ou=Employees,ou=Accounts"
41,Sheffield,Redshaw,sheredshaw,recites,Services,Account Coordinator,(210) 3456482,sredshaw14@networkadvertising.org,979 Dixon Street,San Antonio,texas,78285,Crooks LLC,Employees,,,,,,,,,,"ou=Services,ou=Employees,ou=Accounts"
232,Alix,aManger,aliamanger,testoons,Business Development,Account Coordinator,(713) 9122655,aamanger6f@google.pl,49638 Melrose Pass,Spring,texas,77386,"Windler, Koss and Simonis",Employees,,,,,,,,,,"ou=Business Development,ou=Employees,ou=Accounts"
396,Ira,Tibbits,iratibbits,springs,Support,Account Coordinator,(214) 5358017,itibbitsaz@google.com.br,4626 Nevada Way,Denton,texas,76210,Abshire and Sons,Employees,,,,,,,,,,"ou=Support,ou=Employees,ou=Accounts"
499,Roth,Pymer,rotpymer,babushka,Sales,Account Coordinator,(903) 3920634,rpymerdu@netlog.com,378 Red Cloud Plaza,Texarkana,texas,75507,Wehner-Heidenreich,Employees,,,,,,,,,,"ou=Sales,ou=Employees,ou=Accounts"
645,Davida,Driffill,davdriffill,shamisen,Accounting,Account Coordinator,(915) 3935816,ddriffillhw@trellian.com,135 Maryland Parkway,El Paso,texas,79911,Herzog and Sons,Employees,,,,,,,,,,"ou=Accounting,ou=Employees,ou=Accounts"
811,Kelly,Arnull,kelarnull,contusing,Support,Account Coordinator,(214) 9042811,karnullmi@exblog.jp,1 Kipling Avenue,Garland,texas,75049,Nienow-Hagenes,Employees,,,,,,,,,,"ou=Support,ou=Employees,ou=Accounts"
830,Jo-ann,Hartropp,johartropp,depaint,Research and Development,Account Coordinator,(936) 9931600,jhartroppn1@51.la,7415 Carpenter Parkway,Beaumont,texas,77713,Lindgren LLC,Employees,,,,,,,,,,"ou=Research and Development,ou=Employees,ou=Accounts"
919,Dru,Gianninotti,drugianninotti,vestless,Human Resources,Account Coordinator,(832) 2062054,dgianninottipi@canalblog.com,7800 Bellgrove Place,Houston,texas,77060,"Gusikowski, Hamill and Ratke",Employees,,,,,,,,,,"ou=Human Resources,ou=Employees,ou=Accounts"
289,Dennison,McKeney,denmckeney,cornballs,Product Management,Account Executive,(713) 1354842,dmckeney80@odnoklassniki.ru,23 Stephen Avenue,Houston,texas,77218,Reichel-Gerhold,Employees,,,,,,,,,,"ou=Executives,ou=Accounts"
338,Beverlie,Krebs,bevkrebs,cheaply,Product Management,Account Executive,(210) 3373105,bkrebs9d@mapquest.com,93 Sundown Drive,San Antonio,texas,78240,"Fay, Towne and Kshlerin",Employees,,,,,,,,,,"ou=Executives,ou=Accounts"
352,Ynes,Cutteridge,ynecutteridge,factoids,Services,Account Executive,(210) 4538293,ycutteridge9r@icio.us,0 Warbler Point,San Antonio,texas,78278,"Satterfield, Hauck and Stokes",Employees,,,,,,,,,,"ou=Executives,ou=Accounts"
